DCNv3-FPN - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 11:33:12
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9962
IDF1:               0.9981
ID Switches:        1120
Fragmentations:     3778
Mostly Tracked (MT):7294 (87.5%)
Mostly Lost (ML):   57 (0.7%)
Track IDs Assigned: 8333
Unique Vehicles:    5911
Duplicate Tracks:   2422
GFLOPs:             nan
FPS:                58.67
Runtime:            03:04:04
Class Switches:     6416

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2706
  MOTORCYCLE      397
  TRICYCLE        43
  VAN             490
  BUS             0
  TRUCK           0
  TOTAL           3636

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 65       11       0        7        0        0        83      
00:05:00-00:10:00 74       3        0        10       0        0        87      
00:10:00-00:15:00 71       1        0        12       0        0        84      
00:15:00-00:20:00 78       1        0        12       0        0        91      
00:20:00-00:25:00 70       2        0        10       0        0        82      
00:25:00-00:30:00 42       0        0        4        0        0        46      
00:30:00-00:35:00 32       1        0        7        0        0        40      
00:35:00-00:40:00 39       1        0        9        0        0        49      
00:40:00-00:45:00 35       2        0        9        0        0        46      
00:45:00-00:50:00 31       0        0        7        0        0        38      
00:50:00-00:55:00 22       1        0        0        0        0        23      
00:55:00-01:00:00 33       3        0        11       0        0        47      
01:00:00-01:05:00 46       5        0        6        0        0        57      
01:05:00-01:10:00 51       5        0        4        0        0        60      
01:10:00-01:15:00 39       11       0        3        0        0        53      
01:15:00-01:20:00 30       5        0        1        0        0        36      
01:20:00-01:25:00 12       7        0        2        0        0        21      
01:25:00-01:30:00 29       9        0        5        0        0        43      
01:30:00-01:35:00 21       6        0        1        0        0        28      
01:35:00-01:40:00 9        4        0        1        0        0        14      
01:40:00-01:45:00 22       12       0        3        0        0        37      
01:45:00-01:50:00 46       12       0        8        0        0        66      
01:50:00-01:55:00 9        11       0        1        0        0        21      
01:55:00-02:00:00 38       8        0        5        0        0        51      
02:00:00-02:05:00 13       11       0        1        0        0        25      
02:05:00-02:10:00 39       8        0        5        0        0        52      
02:10:00-02:15:00 11       4        0        3        0        0        18      
02:15:00-02:20:00 15       7        0        3        0        0        25      
02:20:00-02:25:00 19       3        1        3        0        0        26      
02:25:00-02:30:00 9        2        0        0        0        0        11      
02:30:00-02:35:00 12       1        0        2        0        0        15      
02:35:00-02:40:00 15       5        0        0        0        0        20      
02:40:00-02:45:00 14       2        0        0        0        0        16      
02:45:00-02:50:00 7        3        1        1        0        0        12      
02:50:00-02:55:00 10       4        0        0        0        0        14      
02:55:00-03:00:00 19       3        0        3        0        0        25      
03:00:00-03:05:00 13       3        0        1        0        0        17      
03:05:00-03:10:00 5        2        0        2        0        0        9       
03:10:00-03:15:00 13       5        0        2        0        0        20      
03:15:00-03:20:00 16       2        2        2        0        0        22      
03:20:00-03:25:00 11       6        2        0        0        0        19      
03:25:00-03:30:00 13       1        2        2        0        0        18      
03:30:00-03:35:00 7        3        4        0        0        0        14      
03:35:00-03:40:00 15       3        0        1        0        0        19      
03:40:00-03:45:00 4        2        2        1        0        0        9       
03:45:00-03:50:00 4        3        0        0        0        0        7       
03:50:00-03:55:00 10       3        2        2        0        0        17      
03:55:00-04:00:00 8        2        0        0        0        0        10      
