DCNv3-Liu - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 16:19:02
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_liu/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9150
IDF1:               0.9175
ID Switches:        1526
Mostly Tracked (MT):(85.7%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                100.19
Runtime:            01:47:48
Class Switches:     7258

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2686
  MOTORCYCLE      386
  TRICYCLE        46
  VAN             469
  BUS             0
  TRUCK           0
  TOTAL           3587

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 66       9        0        7        0        0        82      
00:05:00-00:10:00 75       3        0        12       0        0        90      
00:10:00-00:15:00 71       1        0        13       0        0        85      
00:15:00-00:20:00 75       1        0        14       0        0        90      
00:20:00-00:25:00 72       1        0        7        0        0        80      
00:25:00-00:30:00 45       0        0        3        0        0        48      
00:30:00-00:35:00 30       1        0        6        0        0        37      
00:35:00-00:40:00 40       1        0        7        0        0        48      
00:40:00-00:45:00 34       1        0        10       0        0        45      
00:45:00-00:50:00 31       0        0        7        0        0        38      
00:50:00-00:55:00 22       1        0        2        0        0        25      
00:55:00-01:00:00 32       3        0        10       0        0        45      
01:00:00-01:05:00 46       6        0        7        0        0        59      
01:05:00-01:10:00 55       6        0        2        0        0        63      
01:10:00-01:15:00 40       12       0        3        0        0        55      
01:15:00-01:20:00 30       6        0        0        0        0        36      
01:20:00-01:25:00 11       7        1        2        0        0        21      
01:25:00-01:30:00 27       9        0        5        0        0        41      
01:30:00-01:35:00 22       6        0        0        0        0        28      
01:35:00-01:40:00 10       4        0        1        0        0        15      
01:40:00-01:45:00 22       13       0        4        0        0        39      
01:45:00-01:50:00 47       11       0        7        0        0        65      
01:50:00-01:55:00 9        12       0        1        0        0        22      
01:55:00-02:00:00 38       7        1        4        0        0        50      
02:00:00-02:05:00 14       10       1        0        0        0        25      
02:05:00-02:10:00 42       7        0        3        0        0        52      
02:10:00-02:15:00 12       4        0        2        0        0        18      
02:15:00-02:20:00 14       7        1        3        0        0        25      
02:20:00-02:25:00 18       3        1        3        0        0        25      
02:25:00-02:30:00 9        3        0        0        0        0        12      
02:30:00-02:35:00 12       1        0        2        0        0        15      
