DCNv2-Full - 6to6_g29.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 07:42:05
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g29.mp4
Frames: 648099 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9285
IDF1:               0.9392
ID Switches:        1367
Mostly Tracked (MT):(87.2%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                97.66
Runtime:            01:50:36
Class Switches:     5363

TOTAL VEHICLE COUNTS
------------------------------
  CAR             3969
  MOTORCYCLE      470
  TRICYCLE        121
  VAN             599
  BUS             1
  TRUCK           2
  TOTAL           5162

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 20       0        0        3        0        0        23      
00:05:00-00:10:00 34       2        0        0        0        0        36      
00:10:00-00:15:00 13       0        0        1        0        0        14      
00:15:00-00:20:00 56       5        0        7        0        0        68      
00:20:00-00:25:00 14       1        0        1        0        0        16      
00:25:00-00:30:00 57       2        0        11       0        0        70      
00:30:00-00:35:00 19       0        0        2        0        0        21      
00:35:00-00:40:00 58       0        0        7        0        0        65      
00:40:00-00:45:00 59       1        0        7        0        0        67      
00:45:00-00:50:00 16       0        0        4        0        0        20      
00:50:00-00:55:00 52       3        0        12       0        0        67      
00:55:00-01:00:00 3        0        0        0        0        0        3       
01:00:00-01:05:00 61       0        0        9        0        0        70      
01:05:00-01:10:00 76       1        0        6        0        0        83      
01:10:00-01:15:00 0        1        0        0        0        0        1       
01:15:00-01:20:00 91       0        0        10       0        0        101     
01:20:00-01:25:00 1        0        0        0        0        0        1       
01:25:00-01:30:00 68       1        1        9        0        1        80      
01:30:00-01:35:00 11       7        0        6        0        0        24      
01:35:00-01:40:00 89       2        0        7        0        0        98      
01:40:00-01:45:00 0        0        0        0        0        0        0       
01:45:00-01:50:00 43       10       2        2        0        0        57      
01:50:00-01:55:00 46       0        0        9        0        0        55      
01:55:00-02:00:00 61       6        0        6        0        0        73      
02:00:00-02:05:00 14       2        0        1        0        0        17      
02:05:00-02:10:00 60       6        0        10       0        0        76      
02:10:00-02:15:00 8        2        0        0        0        0        10      
02:15:00-02:20:00 32       1        0        6        0        0        39      
02:20:00-02:25:00 28       4        0        3        0        0        35      
02:25:00-02:30:00 30       3        0        4        0        0        37      
02:30:00-02:35:00 21       3        1        4        0        0        29      
02:35:00-02:40:00 28       2        3        2        0        0        35      
02:40:00-02:45:00 19       1        0        3        0        0        23      
02:45:00-02:50:00 13       1        1        4        0        0        19      
02:50:00-02:55:00 18       0        0        2        0        0        20      
02:55:00-03:00:00 22       0        0        0        0        0        22      
03:00:00-03:05:00 9        1        2        2        0        0        14      
03:05:00-03:10:00 23       3        3        1        0        0        30      
03:10:00-03:15:00 16       0        2        2        0        0        20      
03:15:00-03:20:00 18       1        1        4        0        0        24      
03:20:00-03:25:00 19       0        4        5        0        0        28      
03:25:00-03:30:00 20       3        1        3        0        0        27      
03:30:00-03:35:00 23       3        7        1        0        0        34      
03:35:00-03:40:00 29       1        9        2        0        0        41      
03:40:00-03:45:00 17       5        3        1        0        0        26      
03:45:00-03:50:00 10       0        2        1        0        0        13      
03:50:00-03:55:00 7        1        2        1        0        0        11      
03:55:00-04:00:00 5        1        2        1        0        0        9       
04:00:00-04:05:00 8        1        0        0        0        0        9       
04:05:00-04:10:00 11       2        1        0        0        0        14      
04:10:00-04:15:00 9        1        3        5        0        0        18      
04:15:00-04:20:00 9        4        1        0        0        0        14      
04:20:00-04:25:00 12       1        3        2        0        0        18      
04:25:00-04:30:00 10       1        1        2        0        0        14      
04:30:00-04:35:00 13       1        1        1        0        0        16      
04:35:00-04:40:00 16       0        3        2        0        0        21      
04:40:00-04:45:00 9        2        5        2        0        0        18      
04:45:00-04:50:00 15       0        1        0        0        0        16      
04:50:00-04:55:00 10       0        0        2        0        0        12      
04:55:00-05:00:00 28       3        8        7        0        0        46      
05:00:00-05:05:00 25       1        5        4        0        0        35      
05:05:00-05:10:00 5        0        0        2        0        0        7       
05:10:00-05:15:00 37       7        2        8        0        0        54      
05:15:00-05:20:00 34       3        1        7        0        0        45      
05:20:00-05:25:00 1        3        0        0        0        0        4       
05:25:00-05:30:00 31       4        0        8        0        0        43      
05:30:00-05:35:00 49       7        0        8        0        0        64      
05:35:00-05:40:00 23       5        1        7        0        1        37      
05:40:00-05:45:00 52       5        0        5        0        0        62      
05:45:00-05:50:00 31       2        1        9        0        0        43      
05:50:00-05:55:00 0        0        0        0        0        0        0       
05:55:00-06:00:00 41       5        2        5        0        0        53      
06:00:00-06:05:00 33       3        1        5        0        0        42      
06:05:00-06:10:00 11       4        1        0        0        0        16      
06:10:00-06:15:00 13       4        3        4        0        0        24      
06:15:00-06:20:00 17       4        0        2        0        0        23      
06:20:00-06:25:00 13       1        4        2        0        0        20      
06:25:00-06:30:00 26       3        3        1        0        0        33      
06:30:00-06:35:00 9        1        0        0        0        0        10      
06:35:00-06:40:00 37       8        5        3        0        0        53      
06:40:00-06:45:00 19       2        3        5        0        0        29      
06:45:00-06:50:00 11       6        3        1        0        0        21      
06:50:00-06:55:00 21       5        1        2        0        0        29      
06:55:00-07:00:00 8        2        0        0        0        0        10      
07:00:00-07:05:00 13       5        2        0        0        0        20      
07:05:00-07:10:00 5        4        0        1        0        0        10      
07:10:00-07:15:00 12       2        0        2        0        0        16      
07:15:00-07:20:00 29       3        0        9        0        0        41      
07:20:00-07:25:00 40       7        1        5        0        0        53      
07:25:00-07:30:00 37       2        0        9        0        0        48      
07:30:00-07:35:00 42       2        1        9        0        0        54      
07:35:00-07:40:00 18       6        0        1        0        0        25      
07:40:00-07:45:00 10       2        1        6        0        0        19      
07:45:00-07:50:00 19       4        0        3        0        0        26      
07:50:00-07:55:00 26       2        0        3        0        0        31      
07:55:00-08:00:00 40       1        0        5        0        0        46      
08:00:00-08:05:00 61       2        0        16       0        0        79      
08:05:00-08:10:00 33       8        0        10       0        0        51      
08:10:00-08:15:00 38       2        0        4        0        0        44      
08:15:00-08:20:00 52       7        0        14       0        0        73      
08:20:00-08:25:00 0        3        0        0        0        0        3       
08:25:00-08:30:00 37       9        0        5        0        0        51      
08:30:00-08:35:00 39       0        0        5        0        0        44      
08:35:00-08:40:00 2        0        0        0        0        0        2       
08:40:00-08:45:00 40       3        0        6        0        0        49      
08:45:00-08:50:00 36       6        0        11       0        0        53      
08:50:00-08:55:00 0        0        0        1        0        0        1       
08:55:00-09:00:00 31       2        0        14       0        0        47      
09:00:00-09:05:00 31       5        0        3        0        0        39      
09:05:00-09:10:00 6        6        0        2        0        0        14      
09:10:00-09:15:00 28       2        0        4        0        0        34      
09:15:00-09:20:00 29       11       0        5        0        0        45      
09:20:00-09:25:00 22       5        1        2        0        0        30      
09:25:00-09:30:00 51       4        0        7        0        0        62      
09:30:00-09:35:00 37       4        0        3        0        0        44      
09:35:00-09:40:00 36       7        1        9        0        0        53      
09:40:00-09:45:00 49       4        0        5        0        0        58      
09:45:00-09:50:00 38       5        0        2        0        0        45      
09:50:00-09:55:00 65       8        0        11       1        0        85      
09:55:00-10:00:00 0        1        0        0        0        0        1       
10:00:00-10:05:00 31       6        0        5        0        0        42      
10:05:00-10:10:00 35       8        0        6        0        0        49      
10:10:00-10:15:00 0        1        0        0        0        0        1       
10:15:00-10:20:00 43       8        0        3        0        0        54      
10:20:00-10:25:00 33       10       0        8        0        0        51      
10:25:00-10:30:00 0        0        0        0        0        0        0       
10:30:00-10:35:00 38       1        0        4        0        0        43      
10:35:00-10:40:00 41       5        0        5        0        0        51      
10:40:00-10:45:00 36       7        0        12       0        0        55      
10:45:00-10:50:00 57       10       2        11       0        0        80      
10:50:00-10:55:00 46       2        1        10       0        0        59      
10:55:00-11:00:00 46       5        1        3        0        0        55      
11:00:00-11:05:00 46       5        0        8        0        0        59      
11:05:00-11:10:00 38       10       0        5        0        0        53      
11:10:00-11:15:00 34       7        0        2        0        0        43      
11:15:00-11:20:00 37       8        0        2        0        0        47      
11:20:00-11:25:00 35       10       0        4        0        0        49      
11:25:00-11:30:00 39       4        0        4        0        0        47      
11:30:00-11:35:00 43       8        0        11       0        0        62      
11:35:00-11:40:00 39       6        1        4        0        0        50      
11:40:00-11:45:00 16       6        0        2        0        0        24      
11:45:00-11:50:00 21       3        0        2        0        0        26      
11:50:00-11:55:00 18       5        0        1        0        0        24      
11:55:00-12:00:00 13       5        0        2        0        0        20      

SWITCH STATISTICS (over 12:00:06 period)
------------------------------------------------------------
ID Switches Total:                      1367
ID Switches / Hour:                     113.90
Counted Vehs with ID Switch:            778/5162 (15.07%)
Tracks with Class Switch:               1053/8808 (11.96%)
Counted Vehs with Class Switch:         895/5162 (17.34%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     5363
On Counted Vehicles:                    4898
Avg per Affected Counted Veh:           5.47
Per Hour:                               446.85

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     3155
On Counted Vehicles:                    2810
Avg per Affected Counted Veh:           3.14
Per Hour:                               262.88

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 0        14       24       0.00       58.33     
00:05:00-00:10:00 4        5        43       9.30       11.63     
00:10:00-00:15:00 4        30       41       9.76       73.17     
00:15:00-00:20:00 12       78       93       12.90      83.87     
00:20:00-00:25:00 6        43       70       8.57       61.43     
00:25:00-00:30:00 21       74       121      17.36      61.16     
00:30:00-00:35:00 3        3        54       5.56       5.56      
00:35:00-00:40:00 15       58       105      14.29      55.24     
00:40:00-00:45:00 13       37       94       13.83      39.36     
00:45:00-00:50:00 5        39       61       8.20       63.93     
00:50:00-00:55:00 13       65       108      12.04      60.19     
00:55:00-01:00:00 3        0        33       9.09       0.00      
01:00:00-01:05:00 26       88       124      20.97      70.97     
01:05:00-01:10:00 21       50       121      17.36      41.32     
01:10:00-01:15:00 2        0        45       4.44       0.00      
01:15:00-01:20:00 21       78       146      14.38      53.42     
01:20:00-01:25:00 0        1        22       0.00       4.55      
01:25:00-01:30:00 21       80       131      16.03      61.07     
01:30:00-01:35:00 20       39       94       21.28      41.49     
01:35:00-01:40:00 26       56       148      17.57      37.84     
01:40:00-01:45:00 0        0        44       0.00       0.00      
01:45:00-01:50:00 21       57       127      16.54      44.88     
01:50:00-01:55:00 13       67       100      13.00      67.00     
01:55:00-02:00:00 20       28       115      17.39      24.35     
02:00:00-02:05:00 5        43       56       8.93       76.79     
02:05:00-02:10:00 17       71       105      16.19      67.62     
02:10:00-02:15:00 0        8        46       0.00       17.39     
02:15:00-02:20:00 6        35       61       9.84       57.38     
02:20:00-02:25:00 8        43       64       12.50      67.19     
02:25:00-02:30:00 5        29       48       10.42      60.42     
02:30:00-02:35:00 9        30       42       21.43      71.43     
02:35:00-02:40:00 1        18       36       2.78       50.00     
02:40:00-02:45:00 0        10       29       0.00       34.48     
02:45:00-02:50:00 6        28       35       17.14      80.00     
02:50:00-02:55:00 1        8        29       3.45       27.59     
02:55:00-03:00:00 0        0        25       0.00       0.00      
03:00:00-03:05:00 4        42       35       11.43      120.00    
03:05:00-03:10:00 6        28       47       12.77      59.57     
03:10:00-03:15:00 0        19       25       0.00       76.00     
03:15:00-03:20:00 0        9        26       0.00       34.62     
03:20:00-03:25:00 2        42       39       5.13       107.69    
03:25:00-03:30:00 2        22       36       5.56       61.11     
03:30:00-03:35:00 1        22       46       2.17       47.83     
03:35:00-03:40:00 1        11       54       1.85       20.37     
03:40:00-03:45:00 2        15       31       6.45       48.39     
03:45:00-03:50:00 0        7        14       0.00       50.00     
03:50:00-03:55:00 0        7        13       0.00       53.85     
03:55:00-04:00:00 0        4        9        0.00       44.44     
