DCNv2-Full - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 01:31:12
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9373
IDF1:               0.9387
ID Switches:        643
Mostly Tracked (MT): (91.5%)
Mostly Lost (ML):    (0.2%)
GFLOPs:             nan
FPS:                102.06
Runtime:            01:31:48
Class Switches:     6695

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4708
  MOTORCYCLE      326
  TRICYCLE        194
  VAN             504
  BUS             1
  TRUCK           10
  TOTAL           5743

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 58       4        0        10       0        0        72      
00:05:00-00:10:00 71       3        0        10       0        0        84      
00:10:00-00:15:00 79       6        0        16       0        0        101     
00:15:00-00:20:00 76       6        0        10       0        0        92      
00:20:00-00:25:00 80       5        0        8        0        0        93      
00:25:00-00:30:00 60       1        0        5        0        0        66      
00:30:00-00:35:00 61       2        0        6        0        0        69      
00:35:00-00:40:00 54       3        0        10       0        0        67      
00:40:00-00:45:00 48       1        0        10       0        0        59      
00:45:00-00:50:00 53       2        0        1        0        0        56      
00:50:00-00:55:00 55       1        0        8        0        0        64      
00:55:00-01:00:00 66       5        0        7        0        0        78      
01:00:00-01:05:00 49       1        0        6        0        0        56      
01:05:00-01:10:00 65       4        0        1        0        0        70      
01:10:00-01:15:00 61       2        0        3        0        0        66      
01:15:00-01:20:00 67       3        0        4        0        0        74      
01:20:00-01:25:00 57       6        0        5        0        0        68      
01:25:00-01:30:00 54       2        0        2        0        0        58      
01:30:00-01:35:00 47       2        1        3        0        1        54      
01:35:00-01:40:00 58       1        0        3        0        0        62      
01:40:00-01:45:00 55       2        0        4        0        2        63      
01:45:00-01:50:00 60       5        0        2        0        0        67      
01:50:00-01:55:00 58       0        0        4        0        0        62      
01:55:00-02:00:00 59       12       1        3        0        0        75      
02:00:00-02:05:00 54       3        1        5        0        1        64      
02:05:00-02:10:00 67       5        0        4        0        0        76      
02:10:00-02:15:00 60       6        0        7        0        0        73      
02:15:00-02:20:00 53       1        1        10       0        0        65      
02:20:00-02:25:00 52       6        0        3        0        0        61      
02:25:00-02:30:00 40       3        1        4        0        0        48      
02:30:00-02:35:00 33       7        4        5        0        0        49      
02:35:00-02:40:00 27       4        3        2        0        0        36      
02:40:00-02:45:00 29       3        1        2        0        0        35      
02:45:00-02:50:00 30       2        0        0        0        0        32      
02:50:00-02:55:00 41       2        3        1        0        0        47      
02:55:00-03:00:00 30       1        5        3        0        0        39      
03:00:00-03:05:00 30       4        0        4        0        0        38      
03:05:00-03:10:00 53       11       5        3        0        0        72      
03:10:00-03:15:00 62       4        6        1        0        0        73      
03:15:00-03:20:00 40       2        3        7        0        0        52      
03:20:00-03:25:00 37       2        1        4        0        0        44      
03:25:00-03:30:00 34       0        10       3        0        0        47      
03:30:00-03:35:00 34       3        3        5        0        0        45      
03:35:00-03:40:00 26       3        5        2        0        0        36      
03:40:00-03:45:00 24       1        4        1        0        0        30      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 15       4        2        2        0        0        23      
03:55:00-04:00:00 18       6        1        1        0        0        26      
04:00:00-04:05:00 20       0        0        3        0        0        23      
04:05:00-04:10:00 25       2        3        2        0        0        32      
04:10:00-04:15:00 23       2        0        0        0        0        25      
04:15:00-04:20:00 29       2        3        4        0        0        38      
04:20:00-04:25:00 37       3        5        3        0        0        48      
04:25:00-04:30:00 25       0        2        5        0        0        32      
04:30:00-04:35:00 44       2        1        1        0        0        48      
04:35:00-04:40:00 36       4        9        5        0        0        54      
04:40:00-04:45:00 33       1        0        7        0        0        41      
04:45:00-04:50:00 47       2        5        4        0        0        58      
04:50:00-04:55:00 28       3        1        3        0        0        35      
04:55:00-05:00:00 39       3        12       9        0        0        63      
05:00:00-05:05:00 32       1        7        4        0        0        44      
05:05:00-05:10:00 35       3        0        0        0        0        38      
05:10:00-05:15:00 34       3        3        4        0        0        44      
05:15:00-05:20:00 14       2        2        1        1        0        20      
05:20:00-05:25:00 31       3        0        0        0        0        34      
05:25:00-05:30:00 23       2        2        3        0        0        30      
05:30:00-05:35:00 25       3        0        2        0        0        30      
05:35:00-05:40:00 17       3        0        1        0        0        21      
05:40:00-05:45:00 24       2        1        1        0        0        28      
05:45:00-05:50:00 23       1        2        1        0        1        28      
05:50:00-05:55:00 21       1        0        0        0        0        22      
05:55:00-06:00:00 37       6        4        3        0        0        50      
06:00:00-06:05:00 27       2        2        3        0        0        34      
06:05:00-06:10:00 28       1        0        4        0        0        33      
06:10:00-06:15:00 33       2        3        2        0        0        40      
06:15:00-06:20:00 30       3        6        0        0        0        39      
06:20:00-06:25:00 24       3        4        2        0        0        33      
06:25:00-06:30:00 25       1        6        4        0        0        36      
06:30:00-06:35:00 25       1        0        2        0        1        29      
06:35:00-06:40:00 33       3        5        5        0        0        46      
06:40:00-06:45:00 41       6        2        4        0        0        53      
06:45:00-06:50:00 31       3        1        2        0        0        37      
06:50:00-06:55:00 27       1        1        3        0        0        32      
06:55:00-07:00:00 33       3        1        4        0        0        41      
07:00:00-07:05:00 22       0        0        2        0        0        24      
07:05:00-07:10:00 34       0        3        6        0        0        43      
07:10:00-07:15:00 37       4        1        5        0        0        47      
07:15:00-07:20:00 41       2        2        6        0        0        51      
07:20:00-07:25:00 27       4        1        8        0        0        40      
07:25:00-07:30:00 25       4        0        9        0        0        38      
07:30:00-07:35:00 46       1        2        8        0        0        57      
07:35:00-07:40:00 37       3        3        5        0        0        48      
07:40:00-07:45:00 42       2        2        6        0        0        52      
07:45:00-07:50:00 28       3        2        5        0        0        38      
07:50:00-07:55:00 42       1        2        7        0        0        52      
07:55:00-08:00:00 40       3        1        7        0        0        51      
08:00:00-08:05:00 33       1        3        1        0        0        38      
08:05:00-08:10:00 28       2        1        5        0        0        36      
08:10:00-08:15:00 28       3        1        2        0        0        34      
08:15:00-08:20:00 28       4        1        3        0        0        36      
08:20:00-08:25:00 19       0        0        2        0        0        21      
08:25:00-08:30:00 42       6        2        5        0        0        55      
08:30:00-08:35:00 34       3        2        8        0        0        47      
08:35:00-08:40:00 37       1        0        3        0        1        42      
08:40:00-08:45:00 38       2        0        4        0        0        44      
08:45:00-08:50:00 38       2        1        4        0        0        45      
08:50:00-08:55:00 19       0        0        3        0        0        22      
08:55:00-09:00:00 26       3        0        2        0        0        31      
09:00:00-09:05:00 12       2        0        1        0        0        15      
09:05:00-09:10:00 20       0        0        3        0        0        23      
09:10:00-09:15:00 25       0        0        5        0        0        30      
09:15:00-09:20:00 37       1        0        2        0        0        40      
09:20:00-09:25:00 32       3        0        5        0        0        40      
09:25:00-09:30:00 35       1        1        3        0        0        40      
09:30:00-09:35:00 35       3        0        12       0        0        50      
09:35:00-09:40:00 26       2        1        5        0        1        35      
09:40:00-09:45:00 40       0        0        7        0        1        48      
09:45:00-09:50:00 21       2        0        4        0        0        27      
09:50:00-09:55:00 31       0        1        0        0        0        32      
09:55:00-10:00:00 32       1        0        3        0        0        36      
10:00:00-10:05:00 37       2        4        2        0        0        45      
10:05:00-10:10:00 28       2        1        4        0        1        36      
10:10:00-10:15:00 32       1        0        8        0        0        41      
