DCNv2-Liu - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 05:51:06
Model: /home/migui/Downloads/dcnv2-yolov8-liu-20260318T004538Z-1-001/dcnv2-yolov8-liu/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9161
IDF1:               0.9081
ID Switches:        1091
Mostly Tracked (MT):(88.6%)
Mostly Lost (ML):  (0.2%)
GFLOPs:             nan
FPS:                111.89
Runtime:            01:23:44
Class Switches:     13279

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4711
  MOTORCYCLE      307
  TRICYCLE        193
  VAN             574
  BUS             0
  TRUCK           10
  TOTAL           5795

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 59       4        0        10       0        0        73      
00:05:00-00:10:00 70       3        0        10       0        0        83      
00:10:00-00:15:00 77       6        0        19       0        0        102     
00:15:00-00:20:00 75       6        0        12       0        0        93      
00:20:00-00:25:00 80       4        0        8        0        0        92      
00:25:00-00:30:00 56       1        0        7        0        0        64      
00:30:00-00:35:00 60       2        0        7        0        0        69      
00:35:00-00:40:00 55       2        0        11       0        0        68      
00:40:00-00:45:00 49       0        0        10       0        0        59      
00:45:00-00:50:00 55       0        0        1        0        0        56      
00:50:00-00:55:00 54       2        0        9        0        0        65      
00:55:00-01:00:00 64       3        0        10       0        0        77      
01:00:00-01:05:00 48       1        0        6        0        0        55      
01:05:00-01:10:00 65       1        0        1        0        0        67      
01:10:00-01:15:00 59       2        0        4        0        0        65      
01:15:00-01:20:00 67       2        0        4        0        0        73      
01:20:00-01:25:00 55       6        1        5        0        0        67      
01:25:00-01:30:00 54       1        0        3        0        0        58      
01:30:00-01:35:00 47       2        0        4        0        1        54      
01:35:00-01:40:00 56       1        0        4        0        0        61      
01:40:00-01:45:00 54       2        0        7        0        1        64      
01:45:00-01:50:00 59       4        0        2        0        0        65      
01:50:00-01:55:00 59       0        0        4        0        0        63      
01:55:00-02:00:00 60       13       0        3        0        0        76      
02:00:00-02:05:00 55       2        1        4        0        1        63      
02:05:00-02:10:00 66       5        0        4        0        0        75      
02:10:00-02:15:00 61       6        0        6        0        0        73      
02:15:00-02:20:00 56       1        1        14       0        0        72      
02:20:00-02:25:00 52       5        0        4        0        1        62      
02:25:00-02:30:00 41       3        1        4        0        0        49      
02:30:00-02:35:00 33       6        4        7        0        0        50      
02:35:00-02:40:00 28       3        3        4        0        0        38      
02:40:00-02:45:00 29       2        1        2        0        0        34      
02:45:00-02:50:00 30       1        0        0        0        0        31      
02:50:00-02:55:00 41       3        3        2        0        0        49      
02:55:00-03:00:00 30       2        5        3        0        0        40      
03:00:00-03:05:00 32       4        0        4        0        0        40      
03:05:00-03:10:00 55       6        5        3        0        0        69      
03:10:00-03:15:00 63       3        6        2        0        0        74      
03:15:00-03:20:00 41       2        3        6        0        0        52      
03:20:00-03:25:00 37       1        1        5        0        0        44      
03:25:00-03:30:00 37       1        10       3        0        0        51      
03:30:00-03:35:00 35       3        3        5        0        0        46      
03:35:00-03:40:00 26       3        5        2        0        0        36      
03:40:00-03:45:00 25       3        4        1        0        0        33      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 16       5        3        2        0        0        26      
03:55:00-04:00:00 20       6        1        1        0        0        28      
04:00:00-04:05:00 21       1        0        3        0        0        25      
04:05:00-04:10:00 25       3        3        2        0        0        33      
04:10:00-04:15:00 24       2        0        1        0        0        27      
04:15:00-04:20:00 29       2        3        4        0        0        38      
04:20:00-04:25:00 36       4        5        4        0        0        49      
04:25:00-04:30:00 25       0        2        5        0        0        32      
04:30:00-04:35:00 44       2        1        1        0        0        48      
04:35:00-04:40:00 36       4        9        5        0        0        54      
04:40:00-04:45:00 33       2        0        7        0        0        42      
04:45:00-04:50:00 48       2        4        3        0        0        57      
04:50:00-04:55:00 27       3        1        4        0        0        35      
04:55:00-05:00:00 40       4        12       9        0        0        65      
05:00:00-05:05:00 32       1        7        4        0        0        44      
05:05:00-05:10:00 35       2        0        0        0        0        37      
05:10:00-05:15:00 33       3        3        7        0        0        46      
05:15:00-05:20:00 15       1        2        2        0        0        20      
05:20:00-05:25:00 30       3        0        1        0        0        34      
05:25:00-05:30:00 24       1        2        3        0        0        30      
05:30:00-05:35:00 25       4        0        2        0        0        31      
05:35:00-05:40:00 17       2        0        1        0        0        20      
05:40:00-05:45:00 23       2        1        2        0        0        28      
05:45:00-05:50:00 21       3        2        3        0        1        30      
05:50:00-05:55:00 21       1        0        0        0        0        22      
05:55:00-06:00:00 38       4        4        4        0        0        50      
06:00:00-06:05:00 27       0        2        3        0        0        32      
06:05:00-06:10:00 26       0        0        6        0        0        32      
06:10:00-06:15:00 34       2        3        3        0        0        42      
06:15:00-06:20:00 29       4        6        2        0        0        41      
06:20:00-06:25:00 25       3        4        2        0        0        34      
06:25:00-06:30:00 26       2        6        4        0        0        38      
06:30:00-06:35:00 23       1        0        4        0        1        29      
06:35:00-06:40:00 33       3        5        7        0        0        48      
06:40:00-06:45:00 41       5        2        5        0        0        53      
06:45:00-06:50:00 31       3        1        3        0        0        38      
06:50:00-06:55:00 30       1        1        3        0        0        35      
06:55:00-07:00:00 33       3        1        5        0        0        42      
07:00:00-07:05:00 22       0        0        3        0        0        25      
07:05:00-07:10:00 34       0        3        7        0        0        44      
07:10:00-07:15:00 36       4        1        6        0        0        47      
07:15:00-07:20:00 41       2        2        6        0        0        51      
07:20:00-07:25:00 28       4        1        8        0        0        41      
07:25:00-07:30:00 23       2        1        11       0        0        37      
07:30:00-07:35:00 47       0        2        7        0        0        56      
07:35:00-07:40:00 37       3        3        5        0        0        48      
07:40:00-07:45:00 42       2        2        6        0        0        52      
07:45:00-07:50:00 30       3        2        3        0        0        38      
07:50:00-07:55:00 42       2        2        7        0        0        53      
07:55:00-08:00:00 42       3        1        6        0        0        52      
08:00:00-08:05:00 34       0        3        1        0        0        38      
08:05:00-08:10:00 28       2        1        5        0        0        36      
08:10:00-08:15:00 28       3        1        2        0        0        34      
08:15:00-08:20:00 27       6        1        5        0        0        39      
08:20:00-08:25:00 19       0        0        2        0        0        21      
08:25:00-08:30:00 42       6        2        6        0        0        56      
08:30:00-08:35:00 33       3        2        9        0        0        47      
08:35:00-08:40:00 37       1        0        3        0        1        42      
08:40:00-08:45:00 38       2        0        5        0        0        45      
08:45:00-08:50:00 36       2        0        7        0        0        45      
08:50:00-08:55:00 18       0        0        3        0        0        21      
08:55:00-09:00:00 26       1        0        1        0        0        28      
09:00:00-09:05:00 13       2        0        1        0        0        16      
09:05:00-09:10:00 20       0        0        3        0        0        23      
09:10:00-09:15:00 24       1        0        5        0        0        30      
09:15:00-09:20:00 37       1        0        2        0        0        40      
09:20:00-09:25:00 31       4        0        6        0        0        41      
09:25:00-09:30:00 35       1        1        4        0        0        41      
09:30:00-09:35:00 35       3        0        12       0        0        50      
09:35:00-09:40:00 26       2        1        5        0        1        35      
09:40:00-09:45:00 39       0        0        7        0        1        47      
09:45:00-09:50:00 21       1        0        4        0        0        26      
09:50:00-09:55:00 31       0        1        2        0        0        34      
09:55:00-10:00:00 32       2        0        4        0        0        38      
10:00:00-10:05:00 37       3        4        4        0        0        48      
10:05:00-10:10:00 27       2        1        5        0        1        36      
10:10:00-10:15:00 32       1        0        8        0        0        41      
10:15:00-10:20:00 42       2        0        3        0        0        47      
10:20:00-10:25:00 20       3        0        2        0        0        25      

SWITCH STATISTICS (over 10:24:34 period)
------------------------------------------------------------
ID Switches Total:                      1091
ID Switches / Hour:                     104.81
Counted Vehs with ID Switch:            598/5795 (10.32%)
Tracks with Class Switch:               3440/9703 (35.45%)
Counted Vehs with Class Switch:         3078/5795 (53.11%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     13279
On Counted Vehicles:                    12299
Avg per Affected Counted Veh:           4.00
Per Hour:                               1275.66

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     7420
On Counted Vehicles:                    6754
Avg per Affected Counted Veh:           2.19
Per Hour:                               712.81

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 14       173      100      14.00      173.00    
00:05:00-00:10:00 4        117      109      3.67       107.34    
00:10:00-00:15:00 11       222      116      9.48       191.38    
00:15:00-00:20:00 7        170      118      5.93       144.07    
00:20:00-00:25:00 17       145      135      12.59      107.41    
00:25:00-00:30:00 11       115      109      10.09      105.50    
00:30:00-00:35:00 19       147      148      12.84      99.32     
00:35:00-00:40:00 9        112      121      7.44       92.56     
00:40:00-00:45:00 13       131      107      12.15      122.43    
00:45:00-00:50:00 9        117      118      7.63       99.15     
00:50:00-00:55:00 13       115      129      10.08      89.15     
00:55:00-01:00:00 9        138      141      6.38       97.87     
01:00:00-01:05:00 6        73       114      5.26       64.04     
01:05:00-01:10:00 16       99       119      13.45      83.19     
01:10:00-01:15:00 22       102      146      15.07      69.86     
01:15:00-01:20:00 15       111      128      11.72      86.72     
01:20:00-01:25:00 10       142      138      7.25       102.90    
01:25:00-01:30:00 42       99       184      22.83      53.80     
01:30:00-01:35:00 21       143      139      15.11      102.88    
01:35:00-01:40:00 17       158      156      10.90      101.28    
01:40:00-01:45:00 31       135      166      18.67      81.33     
01:45:00-01:50:00 28       150      168      16.67      89.29     
01:50:00-01:55:00 18       123      164      10.98      75.00     
01:55:00-02:00:00 24       155      176      13.64      88.07     
02:00:00-02:05:00 15       140      159      9.43       88.05     
02:05:00-02:10:00 19       187      155      12.26      120.65    
02:10:00-02:15:00 45       278      186      24.19      149.46    
02:15:00-02:20:00 21       142      154      13.64      92.21     
02:20:00-02:25:00 19       120      125      15.20      96.00     
02:25:00-02:30:00 26       204      106      24.53      192.45    
02:30:00-02:35:00 2        107      64       3.12       167.19    
02:35:00-02:40:00 3        111      51       5.88       217.65    
02:40:00-02:45:00 2        64       50       4.00       128.00    
02:45:00-02:50:00 3        95       50       6.00       190.00    
02:50:00-02:55:00 3        135      73       4.11       184.93    
02:55:00-03:00:00 3        96       58       5.17       165.52    
03:00:00-03:05:00 0        105      51       0.00       205.88    
03:05:00-03:10:00 7        163      96       7.29       169.79    
03:10:00-03:15:00 11       139      104      10.58      133.65    
03:15:00-03:20:00 19       138      85       22.35      162.35    
03:20:00-03:25:00 2        126      58       3.45       217.24    
03:25:00-03:30:00 10       139      75       13.33      185.33    
03:30:00-03:35:00 3        82       59       5.08       138.98    
03:35:00-03:40:00 4        79       64       6.25       123.44    
03:40:00-03:45:00 4        74       51       7.84       145.10    
03:45:00-03:50:00 1        52       34       2.94       152.94    
03:50:00-03:55:00 3        63       44       6.82       143.18    
03:55:00-04:00:00 1        76       43       2.33       176.74    
04:00:00-04:05:00 5        67       44       11.36      152.27    
04:05:00-04:10:00 5        83       56       8.93       148.21    
04:10:00-04:15:00 2        72       43       4.65       167.44    
04:15:00-04:20:00 2        70       51       3.92       137.25    
04:20:00-04:25:00 3        100      80       3.75       125.00    
04:25:00-04:30:00 8        74       81       9.88       91.36     
04:30:00-04:35:00 29       172      102      28.43      168.63    
04:35:00-04:40:00 7        142      76       9.21       186.84    
04:40:00-04:45:00 4        98       62       6.45       158.06    
04:45:00-04:50:00 9        172      80       11.25      215.00    
04:50:00-04:55:00 2        110      52       3.85       211.54    
04:55:00-05:00:00 10       153      94       10.64      162.77    
05:00:00-05:05:00 6        168      66       9.09       254.55    
05:05:00-05:10:00 5        105      55       9.09       190.91    
05:10:00-05:15:00 10       133      70       14.29      190.00    
05:15:00-05:20:00 5        45       40       12.50      112.50    
05:20:00-05:25:00 1        95       46       2.17       206.52    
05:25:00-05:30:00 8        108      58       13.79      186.21    
05:30:00-05:35:00 6        65       65       9.23       100.00    
05:35:00-05:40:00 0        48       34       0.00       141.18    
05:40:00-05:45:00 7        82       52       13.46      157.69    
05:45:00-05:50:00 3        63       42       7.14       150.00    
05:50:00-05:55:00 6        35       38       15.79      92.11     
05:55:00-06:00:00 1        95       72       1.39       131.94    
06:00:00-06:05:00 3        58       53       5.66       109.43    
06:05:00-06:10:00 5        63       51       9.80       123.53    
06:10:00-06:15:00 10       113      63       15.87      179.37    
06:15:00-06:20:00 8        77       61       13.11      126.23    
06:20:00-06:25:00 2        54       41       4.88       131.71    
06:25:00-06:30:00 1        54       54       1.85       100.00    
06:30:00-06:35:00 4        51       53       7.55       96.23     
06:35:00-06:40:00 11       109      77       14.29      141.56    
06:40:00-06:45:00 2        89       77       2.60       115.58    
06:45:00-06:50:00 4        70       49       8.16       142.86    
06:50:00-06:55:00 6        73       47       12.77      155.32    
06:55:00-07:00:00 4        94       61       6.56       154.10    
07:00:00-07:05:00 5        92       44       11.36      209.09    
07:05:00-07:10:00 2        129      68       2.94       189.71    
07:10:00-07:15:00 4        108      71       5.63       152.11    
07:15:00-07:20:00 12       177      82       14.63      215.85    
07:20:00-07:25:00 12       139      66       18.18      210.61    
07:25:00-07:30:00 1        89       59       1.69       150.85    
07:30:00-07:35:00 12       180      89       13.48      202.25    
07:35:00-07:40:00 9        203      82       10.98      247.56    
07:40:00-07:45:00 8        133      72       11.11      184.72    
07:45:00-07:50:00 9        118      63       14.29      187.30    
07:50:00-07:55:00 15       161      92       16.30      175.00    
07:55:00-08:00:00 4        110      73       5.48       150.68    
08:00:00-08:05:00 8        86       62       12.90      138.71    
08:05:00-08:10:00 3        78       48       6.25       162.50    
08:10:00-08:15:00 4        28       43       9.30       65.12     
08:15:00-08:20:00 4        54       49       8.16       110.20    
08:20:00-08:25:00 2        43       29       6.90       148.28    
08:25:00-08:30:00 4        114      75       5.33       152.00    
08:30:00-08:35:00 8        80       74       10.81      108.11    
08:35:00-08:40:00 7        148      60       11.67      246.67    
08:40:00-08:45:00 6        105      62       9.68       169.35    
08:45:00-08:50:00 8        108      68       11.76      158.82    
08:50:00-08:55:00 3        54       56       5.36       96.43     
08:55:00-09:00:00 12       43       80       15.00      53.75     
09:00:00-09:05:00 28       50       85       32.94      58.82     
09:05:00-09:10:00 3        53       74       4.05       71.62     
09:10:00-09:15:00 7        88       88       7.95       100.00    
09:15:00-09:20:00 7        45       61       11.48      73.77     
09:20:00-09:25:00 6        53       74       8.11       71.62     
09:25:00-09:30:00 11       59       84       13.10      70.24     
09:30:00-09:35:00 9        108      80       11.25      135.00    
09:35:00-09:40:00 10       144      67       14.93      214.93    
09:40:00-09:45:00 9        105      69       13.04      152.17    
09:45:00-09:50:00 2        54       41       4.88       131.71    
09:50:00-09:55:00 4        68       52       7.69       130.77    
09:55:00-10:00:00 1        103      45       2.22       228.89    
10:00:00-10:05:00 3        87       75       4.00       116.00    
10:05:00-10:10:00 5        73       60       8.33       121.67    
10:10:00-10:15:00 2        81       51       3.92       158.82    
10:15:00-10:20:00 6        99       73       8.22       135.62    
10:20:00-10:25:00 0        62       39       0.00       158.97    

CLASSIFICATION SWITCHES: 13279 total
Frame    ID     From         To          
52       4      car          tricycle    
59       4      tricycle     car         
557      9      car          van         
559      9      van          car         
768      15     car          van         
772      15     van          truck       
777      15     truck        car         
842      19     car          tricycle    
843      19     tricycle     car         
844      19     car          tricycle    
849      19     tricycle     car         
865      21     car          van         
866      21     van          car         
867      21     car          van         
895      23     car          van         
898      23     van          car         
901      23     car          van         
904      23     van          car         
909      23     car          van         
926      21     van          car         
939      23     van          car         
945      23     car          van         
968      24     car          tricycle    
970      23     van          car         
970      24     tricycle     car         
972      24     car          tricycle    
973      23     car          van         
973      24     tricycle     car         
975      23     van          car         
1097     28     car          van         
1108     28     van          car         
1114     28     car          van         
1142     28     van          car         
1143     28     car          van         
1144     28     van          car         
1151     32     van          car         
1162     32     car          van         
1164     32     van          car         
1172     32     car          van         
1237     37     car          van         
1257     37     van          car         
1317     42     car          van         
1323     42     van          tricycle    
1328     42     tricycle     truck       
1337     42     truck        van         
1338     42     van          truck       
1343     42     truck        van         
1363     42     van          car         
1385     46     car          tricycle    
1396     46     tricycle     car         
1430     50     car          tricycle    
1438     50     tricycle     car         
1487     52     car          tricycle    
1494     52     tricycle     car         
1538     53     car          van         
1542     53     van          car         
1546     53     car          van         
1547     53     van          car         
1639     54     car          tricycle    
1643     54     tricycle     car         
1730     58     car          van         
1835     61     car          van         
1838     61     van          car         
1844     61     car          tricycle    
1845     61     tricycle     car         
1905     63     car          tricycle    
1908     63     tricycle     car         
1941     64     car          tricycle    
1944     64     tricycle     car         
2014     68     car          tricycle    
2022     68     tricycle     car         
2108     70     car          van         
2110     70     van          car         
2119     70     car          van         
2121     70     van          car         
2175     73     car          van         
2185     73     van          tricycle    
2186     73     tricycle     car         
2220     74     van          truck       
2231     74     truck        van         
2232     74     van          truck       
2234     74     truck        van         
2236     77     truck        van         
2252     77     van          car         
2254     77     car          van         
2255     77     van          car         
2437     81     car          tricycle    
2440     81     tricycle     car         
2441     81     car          tricycle    
2445     81     tricycle     car         
2468     82     car          van         
2471     82     van          car         
2482     82     car          van         
2483     82     van          car         
2562     85     car          van         
2563     85     van          car         
2564     85     car          van         
2571     85     van          truck       
2575     85     truck        car         
2840     89     car          van         
2860     89     van          truck       
2866     89     truck        van         
2878     91     truck        car         
2909     89     van          car         
2966     94     car          van         
2968     94     van          truck       
2969     94     truck        tricycle    
2971     94     tricycle     truck       
2973     94     truck        car         
3051     95     car          tricycle    
3056     95     tricycle     car         
3127     91     car          van         
3130     91     van          car         
3134     91     car          van         
3139     91     van          car         
3142     91     car          van         
3160     91     van          car         
3164     100    car          tricycle    
3172     100    tricycle     car         
3219     91     car          van         
3244     106    car          tricycle    
3251     91     van          car         
3252     106    tricycle     car         
3273     91     car          van         
3281     91     van          car         
3301     111    car          tricycle    
3309     111    tricycle     car         
3380     112    car          van         
3386     112    van          truck       
3393     112    truck        car         
3417     91     car          van         
3418     91     van          car         
3422     113    car          van         
3426     113    van          truck       
3428     113    truck        car         
3441     116    car          tricycle    
3445     116    tricycle     car         
3456     116    car          tricycle    
3463     116    tricycle     car         
3511     118    car          van         
3516     118    van          truck       
3525     118    truck        van         
3527     118    van          car         
3529     118    car          van         
3540     118    van          car         
3941     126    car          van         
3944     126    van          truck       
3948     126    truck        car         
4043     128    van          car         
4053     130    car          tricycle    
4054     130    tricycle     car         
4088     134    car          truck       
4090     134    truck        car         
4216     136    car          van         
4218     136    van          car         
4259     137    car          van         
4271     137    van          car         
4276     137    car          van         
4281     137    van          car         
4284     137    car          van         
4286     137    van          car         
4312     141    car          van         
4315     141    van          truck       
4322     141    truck        car         
4373     143    car          tricycle    
4374     143    tricycle     car         
4375     143    car          tricycle    
4379     143    tricycle     car         
4430     145    car          van         
4434     145    van          car         
4471     147    car          van         
4476     147    van          car         
4499     152    car          truck       
4507     152    truck        car         
4597     156    car          van         
4602     156    van          car         
4682     163    car          van         
4729     166    van          car         
4742     166    car          van         
4755     166    van          car         
4756     166    car          van         
4762     163    van          car         
4823     166    van          car         
4823     168    car          truck       
4825     168    truck        car         
4846     170    car          van         
4920     170    van          car         
4921     170    car          van         
4922     170    van          car         
4923     170    car          van         
4925     170    van          car         
4926     171    car          tricycle    
4927     171    tricycle     car         
4929     170    car          van         
4935     170    van          car         
4982     176    van          truck       
4984     176    truck        car         
5141     184    car          truck       
5147     184    truck        car         
5251     194    car          van         
5257     194    van          truck       
5269     194    truck        tricycle    
5271     194    tricycle     car         
5326     201    car          van         
5328     201    van          car         
5333     201    car          truck       
5345     201    truck        car         
5533     206    car          tricycle    
5534     206    tricycle     car         
5568     209    car          van         
5716     209    van          car         
5717     209    car          van         
5719     209    van          car         
5720     209    car          van         
5740     214    car          van         
5862     214    van          car         
5867     222    car          van         
5873     222    van          truck       
5882     222    truck        car         
5993     229    car          van         
6215     233    car          van         
6218     233    van          car         
6220     233    car          van         
6221     233    van          car         
6223     233    car          van         
6224     233    van          car         
6286     233    car          van         
6287     233    van          car         
6495     238    car          tricycle    
6500     238    tricycle     car         
6706     242    car          van         
6710     242    van          truck       
6712     242    truck        car         
6752     243    car          van         
6760     243    van          car         
6837     245    car          van         
6839     245    van          tricycle    
6843     245    tricycle     car         
6977     250    car          van         
6978     250    van          truck       
6983     250    truck        car         
7031     251    car          tricycle    
7040     251    tricycle     car         
7071     253    car          van         
7078     253    van          car         
7137     256    car          truck       
7144     256    truck        car         
7180     258    car          tricycle    
7182     258    tricycle     car         
7226     260    car          tricycle    
7230     260    tricycle     car         
7240     260    car          van         
7243     260    van          car         
7422     262    car          van         
7426     262    van          truck       
7430     262    truck        car         
7547     265    car          truck       
7549     265    truck        tricycle    
7554     265    tricycle     car         
7629     267    car          truck       
7630     267    truck        car         
8488     274    car          truck       
8492     274    truck        car         
8534     276    car          tricycle    
8537     276    tricycle     car         
8578     278    car          van         
8583     278    van          tricycle    
8587     278    tricycle     car         
8685     281    car          van         
8689     281    van          truck       
8692     281    truck        van         
8694     281    van          truck       
8697     281    truck        van         
8722     281    van          car         
8725     285    van          car         
8727     284    car          van         
8730     284    van          car         
8732     284    car          van         
8775     284    van          car         
8782     287    car          tricycle    
8793     287    tricycle     car         
8800     289    car          van         
8861     291    car          tricycle    
8864     291    tricycle     car         
8865     291    car          tricycle    
8867     291    tricycle     car         
8919     296    car          tricycle    
8921     296    tricycle     car         
8961     299    car          tricycle    
8963     299    tricycle     car         
9030     305    car          van         
9035     305    van          truck       
9037     305    truck        car         
9044     305    car          van         
9046     305    van          car         
9074     306    car          tricycle    
