DCNv3-FPN - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 20:56:04
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9173
IDF1:               0.9187
ID Switches:        844
Mostly Tracked (MT):(91.2%)
Mostly Lost (ML):   (0.3%)
GFLOPs:             nan
FPS:                57.75
Runtime:            02:42:14
Class Switches:     8155

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4702
  MOTORCYCLE      331
  TRICYCLE        191
  VAN             525
  BUS             2
  TRUCK           12
  TOTAL           5763

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 60       5        0        9        0        0        74      
00:05:00-00:10:00 72       4        0        9        0        0        85      
00:10:00-00:15:00 78       6        0        18       0        0        102     
00:15:00-00:20:00 76       6        0        10       0        0        92      
00:20:00-00:25:00 80       5        0        7        0        0        92      
00:25:00-00:30:00 58       1        0        5        0        0        64      
00:30:00-00:35:00 60       3        0        7        0        0        70      
00:35:00-00:40:00 54       3        0        10       0        0        67      
00:40:00-00:45:00 49       0        0        9        0        0        58      
00:45:00-00:50:00 52       2        0        1        0        0        55      
00:50:00-00:55:00 53       1        0        8        0        0        62      
00:55:00-01:00:00 62       5        0        8        0        0        75      
01:00:00-01:05:00 47       3        0        6        0        0        56      
01:05:00-01:10:00 63       4        0        1        0        0        68      
01:10:00-01:15:00 61       3        0        3        0        0        67      
01:15:00-01:20:00 64       2        0        4        0        0        70      
01:20:00-01:25:00 55       6        0        5        0        0        66      
01:25:00-01:30:00 53       1        0        2        0        0        56      
01:30:00-01:35:00 47       8        1        4        0        1        61      
01:35:00-01:40:00 57       2        0        3        0        0        62      
01:40:00-01:45:00 54       1        0        4        0        2        61      
01:45:00-01:50:00 59       5        0        2        0        0        66      
01:50:00-01:55:00 58       0        0        3        0        0        61      
01:55:00-02:00:00 63       13       0        2        0        0        78      
02:00:00-02:05:00 57       3        1        3        0        1        65      
02:05:00-02:10:00 67       6        0        2        0        0        75      
02:10:00-02:15:00 59       6        0        8        0        0        73      
02:15:00-02:20:00 51       1        1        8        0        0        61      
02:20:00-02:25:00 54       6        0        4        0        0        64      
02:25:00-02:30:00 40       3        1        4        0        0        48      
02:30:00-02:35:00 32       7        4        4        0        0        47      
02:35:00-02:40:00 28       3        3        2        0        0        36      
02:40:00-02:45:00 29       1        1        2        0        0        33      
02:45:00-02:50:00 30       3        0        0        0        0        33      
02:50:00-02:55:00 39       2        3        2        0        0        46      
02:55:00-03:00:00 29       3        5        3        0        0        40      
03:00:00-03:05:00 32       4        0        4        0        0        40      
03:05:00-03:10:00 55       8        5        3        0        0        71      
03:10:00-03:15:00 60       5        6        3        0        0        74      
03:15:00-03:20:00 41       2        3        6        0        1        53      
03:20:00-03:25:00 37       2        1        5        0        0        45      
03:25:00-03:30:00 35       0        10       3        0        0        48      
03:30:00-03:35:00 34       3        3        4        0        0        44      
03:35:00-03:40:00 27       3        4        2        0        0        36      
03:40:00-03:45:00 25       2        4        0        0        0        31      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 15       4        2        2        0        0        23      
03:55:00-04:00:00 20       5        1        1        0        0        27      
04:00:00-04:05:00 20       0        0        3        0        0        23      
04:05:00-04:10:00 26       2        3        2        0        0        33      
04:10:00-04:15:00 25       2        0        0        0        0        27      
04:15:00-04:20:00 29       2        3        4        0        0        38      
04:20:00-04:25:00 36       4        5        4        0        0        49      
04:25:00-04:30:00 25       0        2        4        0        0        31      
04:30:00-04:35:00 44       2        1        1        0        0        48      
04:35:00-04:40:00 36       4        9        5        0        0        54      
04:40:00-04:45:00 33       2        0        7        0        0        42      
04:45:00-04:50:00 46       2        4        3        0        0        55      
04:50:00-04:55:00 27       3        1        5        0        1        37      
04:55:00-05:00:00 41       3        12       8        0        0        64      
05:00:00-05:05:00 33       1        7        3        0        0        44      
05:05:00-05:10:00 36       3        0        0        0        0        39      
05:10:00-05:15:00 35       3        3        6        0        0        47      
05:15:00-05:20:00 15       1        2        2        1        0        21      
05:20:00-05:25:00 30       2        0        1        0        0        33      
05:25:00-05:30:00 23       3        2        3        0        0        31      
05:30:00-05:35:00 25       2        0        2        0        0        29      
05:35:00-05:40:00 17       1        0        1        0        0        19      
05:40:00-05:45:00 23       0        1        2        0        0        26      
05:45:00-05:50:00 21       2        2        3        0        1        29      
05:50:00-05:55:00 20       2        0        1        0        0        23      
05:55:00-06:00:00 37       4        4        4        0        0        49      
06:00:00-06:05:00 27       2        2        3        0        0        34      
06:05:00-06:10:00 27       1        0        6        0        0        34      
06:10:00-06:15:00 34       1        3        3        0        0        41      
06:15:00-06:20:00 29       4        6        2        0        0        41      
06:20:00-06:25:00 25       3        4        2        0        0        34      
06:25:00-06:30:00 27       1        6        4        0        0        38      
06:30:00-06:35:00 24       1        0        5        1        0        31      
06:35:00-06:40:00 32       2        5        7        0        0        46      
06:40:00-06:45:00 40       4        2        5        0        0        51      
06:45:00-06:50:00 31       3        1        3        0        0        38      
06:50:00-06:55:00 29       1        1        3        0        0        34      
06:55:00-07:00:00 32       3        1        7        0        0        43      
07:00:00-07:05:00 22       0        0        3        0        0        25      
07:05:00-07:10:00 35       0        3        6        0        0        44      
07:10:00-07:15:00 36       4        1        6        0        0        47      
07:15:00-07:20:00 41       2        2        6        0        1        52      
07:20:00-07:25:00 29       4        1        7        0        0        41      
07:25:00-07:30:00 23       5        0        11       0        0        39      
07:30:00-07:35:00 47       0        2        7        0        0        56      
07:35:00-07:40:00 37       3        3        5        0        0        48      
07:40:00-07:45:00 42       1        2        6        0        0        51      
07:45:00-07:50:00 29       3        2        3        0        0        37      
07:50:00-07:55:00 43       2        1        6        0        0        52      
07:55:00-08:00:00 42       3        1        6        0        0        52      
08:00:00-08:05:00 34       1        3        1        0        0        39      
08:05:00-08:10:00 27       1        1        5        0        0        34      
08:10:00-08:15:00 28       3        1        2        0        0        34      
08:15:00-08:20:00 27       6        1        5        0        0        39      
08:20:00-08:25:00 19       0        0        2        0        0        21      
08:25:00-08:30:00 42       7        2        6        0        0        57      
08:30:00-08:35:00 35       3        2        7        0        0        47      
08:35:00-08:40:00 37       1        0        2        0        1        41      
08:40:00-08:45:00 37       1        0        5        0        0        43      
08:45:00-08:50:00 36       2        1        6        0        0        45      
08:50:00-08:55:00 20       0        0        2        0        0        22      
08:55:00-09:00:00 25       1        0        1        0        0        27      
09:00:00-09:05:00 13       3        0        1        0        0        17      
09:05:00-09:10:00 20       0        0        3        0        0        23      
09:10:00-09:15:00 25       0        0        5        0        0        30      
09:15:00-09:20:00 37       2        0        2        0        0        41      
09:20:00-09:25:00 32       3        0        4        0        0        39      
09:25:00-09:30:00 34       1        1        3        0        0        39      
09:30:00-09:35:00 34       4        0        12       0        0        50      
09:35:00-09:40:00 26       2        1        6        0        1        36      
09:40:00-09:45:00 40       1        0        6        0        1        48      
09:45:00-09:50:00 20       1        0        5        0        0        26      
09:50:00-09:55:00 31       0        1        1        0        0        33      
09:55:00-10:00:00 32       2        0        4        0        0        38      
10:00:00-10:05:00 36       2        5        3        0        0        46      
10:05:00-10:10:00 29       2        1        3        0        1        36      
10:10:00-10:15:00 32       1        0        7        0        0        40      
10:15:00-10:20:00 42       3        0        3        0        0        48      
10:20:00-10:25:00 20       3        0        2        0        0        25      

SWITCH STATISTICS (over 10:24:34 period)
------------------------------------------------------------
ID Switches Total:                      844
ID Switches / Hour:                     81.08
Counted Vehs with ID Switch:            442/5763 (7.67%)
Tracks with Class Switch:               2379/9546 (24.92%)
Counted Vehs with Class Switch:         1991/5763 (34.55%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     8155
On Counted Vehicles:                    7188
Avg per Affected Counted Veh:           3.61
Per Hour:                               783.42

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     4826
On Counted Vehicles:                    4163
Avg per Affected Counted Veh:           2.09
Per Hour:                               463.61

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 3        56       88       3.41       63.64     
00:05:00-00:10:00 8        89       111      7.21       80.18     
00:10:00-00:15:00 9        123      120      7.50       102.50    
