DCNv3-Full - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 18:13:42
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9073
IDF1:               0.9087
ID Switches:        784
Mostly Tracked (MT):(90.7%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                81.99
Runtime:            01:54:17
Class Switches:     7452

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4655
  MOTORCYCLE      321
  TRICYCLE        190
  VAN             560
  BUS             0
  TRUCK           17
  TOTAL           5743

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 55       4        0        11       0        0        70      
00:05:00-00:10:00 69       3        0        10       0        0        82      
00:10:00-00:15:00 76       6        0        18       0        0        100     
00:15:00-00:20:00 77       5        0        11       0        0        93      
00:20:00-00:25:00 78       5        0        8        0        0        91      
00:25:00-00:30:00 57       1        0        7        0        0        65      
00:30:00-00:35:00 60       3        0        7        0        0        70      
00:35:00-00:40:00 54       2        0        11       0        0        67      
00:40:00-00:45:00 47       2        0        11       0        0        60      
00:45:00-00:50:00 54       1        0        1        0        0        56      
00:50:00-00:55:00 52       1        0        9        0        0        62      
00:55:00-01:00:00 63       4        0        9        0        0        76      
01:00:00-01:05:00 49       1        0        6        0        0        56      
01:05:00-01:10:00 64       4        0        1        0        0        69      
01:10:00-01:15:00 60       2        0        3        0        0        65      
01:15:00-01:20:00 64       0        0        4        0        0        68      
01:20:00-01:25:00 57       6        0        5        0        0        68      
01:25:00-01:30:00 53       2        0        3        0        0        58      
01:30:00-01:35:00 46       5        0        5        0        1        57      
01:35:00-01:40:00 58       1        0        4        0        0        63      
01:40:00-01:45:00 55       1        0        5        0        2        63      
01:45:00-01:50:00 59       5        0        3        0        0        67      
