DCNv3-Pan - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 23:32:02
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_pan/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9174
IDF1:               0.9287
ID Switches:        915
Mostly Tracked (MT):(91.2%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                60.13
Runtime:            02:35:49
Class Switches:     10422

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4714
  MOTORCYCLE      379
  TRICYCLE        189
  VAN             498
  BUS             2
  TRUCK           7
  TOTAL           5789

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 59       6        0        9        0        0        74      
00:05:00-00:10:00 71       4        0        9        0        0        84      
00:10:00-00:15:00 79       6        0        17       0        0        102     
00:15:00-00:20:00 77       6        0        10       0        0        93      
00:20:00-00:25:00 79       5        0        8        0        0        92      
00:25:00-00:30:00 58       1        0        5        0        0        64      
00:30:00-00:35:00 61       2        0        6        0        0        69      
00:35:00-00:40:00 53       2        0        10       0        0        65      
00:40:00-00:45:00 50       1        0        9        0        0        60      
00:45:00-00:50:00 53       2        0        1        0        0        56      
00:50:00-00:55:00 54       3        0        8        0        0        65      
00:55:00-01:00:00 63       5        0        8        0        0        76      
01:00:00-01:05:00 48       2        0        6        0        0        56      
01:05:00-01:10:00 63       4        0        1        0        0        68      
01:10:00-01:15:00 60       2        0        3        0        0        65      
01:15:00-01:20:00 62       1        0        3        0        0        66      
01:20:00-01:25:00 56       6        0        4        0        0        66      
01:25:00-01:30:00 53       3        0        2        0        0        58      
01:30:00-01:35:00 46       8        1        4        0        1        60      
01:35:00-01:40:00 58       2        0        3        0        0        63      
01:40:00-01:45:00 55       1        0        4        0        1        61      
01:45:00-01:50:00 60       5        0        1        0        0        66      
01:50:00-01:55:00 57       0        0        4        0        0        61      
01:55:00-02:00:00 62       12       0        3        0        0        77      
02:00:00-02:05:00 55       4        1        5        0        1        66      
02:05:00-02:10:00 67       6        0        2        0        0        75      
02:10:00-02:15:00 61       6        0        7        0        0        74      
02:15:00-02:20:00 58       1        1        12       0        0        72      
02:20:00-02:25:00 54       6        0        3        0        0        63      
02:25:00-02:30:00 41       3        1        3        0        0        48      
02:30:00-02:35:00 34       7        4        4        0        0        49      
02:35:00-02:40:00 28       3        3        2        0        0        36      
02:40:00-02:45:00 30       4        1        1        0        0        36      
02:45:00-02:50:00 30       3        0        0        0        0        33      
02:50:00-02:55:00 40       4        3        1        0        0        48      
02:55:00-03:00:00 30       2        5        3        0        0        40      
03:00:00-03:05:00 30       6        0        4        0        0        40      
03:05:00-03:10:00 56       10       5        3        0        0        74      
03:10:00-03:15:00 60       5        6        3        0        0        74      
03:15:00-03:20:00 41       3        3        7        0        0        54      
03:20:00-03:25:00 37       3        1        4        0        0        45      
03:25:00-03:30:00 36       1        10       3        0        0        50      
03:30:00-03:35:00 35       3        3        4        0        0        45      
03:35:00-03:40:00 27       5        4        2        0        0        38      
03:40:00-03:45:00 25       4        4        0        0        0        33      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 16       5        2        2        0        0        25      
03:55:00-04:00:00 18       7        1        1        0        0        27      
04:00:00-04:05:00 20       1        0        3        0        0        24      
04:05:00-04:10:00 25       7        3        2        0        0        37      
04:10:00-04:15:00 25       2        0        0        0        0        27      
04:15:00-04:20:00 29       2        3        4        0        0        38      
04:20:00-04:25:00 35       5        5        4        0        0        49      
04:25:00-04:30:00 25       0        2        5        0        0        32      
04:30:00-04:35:00 44       2        1        1        0        0        48      
04:35:00-04:40:00 35       5        9        5        0        0        54      
04:40:00-04:45:00 33       3        0        7        0        0        43      
04:45:00-04:50:00 47       2        4        4        0        0        57      
04:50:00-04:55:00 27       3        1        5        0        0        36      
04:55:00-05:00:00 40       3        12       9        0        0        64      
05:00:00-05:05:00 33       2        7        3        0        0        45      
05:05:00-05:10:00 36       3        0        0        0        0        39      
05:10:00-05:15:00 37       2        3        5        0        0        47      
05:15:00-05:20:00 15       1        2        1        1        0        20      
05:20:00-05:25:00 31       4        0        0        0        0        35      
05:25:00-05:30:00 24       3        2        3        0        0        32      
05:30:00-05:35:00 25       4        0        2        0        0        31      
05:35:00-05:40:00 17       2        0        1        0        0        20      
05:40:00-05:45:00 22       2        1        4        0        0        29      
05:45:00-05:50:00 23       4        2        2        0        0        31      
05:50:00-05:55:00 21       3        0        0        0        0        24      
05:55:00-06:00:00 39       6        4        3        0        0        52      
06:00:00-06:05:00 28       2        2        2        0        0        34      
06:05:00-06:10:00 28       1        0        4        0        0        33      
06:10:00-06:15:00 33       2        3        2        0        0        40      
06:15:00-06:20:00 29       4        6        2        0        0        41      
06:20:00-06:25:00 24       3        4        2        0        0        33      
06:25:00-06:30:00 27       2        6        4        0        0        39      
06:30:00-06:35:00 24       1        0        3        1        1        30      
06:35:00-06:40:00 35       2        5        4        0        0        46      
06:40:00-06:45:00 39       4        2        4        0        0        49      
06:45:00-06:50:00 30       3        1        2        0        0        36      
06:50:00-06:55:00 30       1        1        3        0        0        35      
06:55:00-07:00:00 35       3        1        4        0        0        43      
07:00:00-07:05:00 22       0        0        2        0        0        24      
07:05:00-07:10:00 34       0        3        7        0        0        44      
07:10:00-07:15:00 37       4        1        5        0        0        47      
07:15:00-07:20:00 41       2        2        6        0        0        51      
07:20:00-07:25:00 27       3        1        6        0        0        37      
07:25:00-07:30:00 24       5        0        10       0        0        39      
07:30:00-07:35:00 45       1        2        7        0        0        55      
07:35:00-07:40:00 36       3        3        5        0        0        47      
07:40:00-07:45:00 42       1        2        6        0        0        51      
07:45:00-07:50:00 30       3        2        3        0        0        38      
07:50:00-07:55:00 40       2        1        6        0        0        49      
07:55:00-08:00:00 42       4        1        6        0        0        53      
08:00:00-08:05:00 33       1        3        1        0        0        38      
08:05:00-08:10:00 26       1        1        5        0        0        33      
08:10:00-08:15:00 28       3        1        2        0        0        34      
08:15:00-08:20:00 28       6        1        3        0        0        38      
08:20:00-08:25:00 19       0        0        2        0        0        21      
08:25:00-08:30:00 43       7        2        3        0        0        55      
08:30:00-08:35:00 32       3        2        7        0        0        44      
08:35:00-08:40:00 37       0        0        2        0        1        40      
08:40:00-08:45:00 36       1        0        5        0        0        42      
08:45:00-08:50:00 37       2        0        5        0        0        44      
08:50:00-08:55:00 20       0        0        2        0        0        22      
08:55:00-09:00:00 25       2        0        1        0        0        28      
09:00:00-09:05:00 13       2        0        1        0        0        16      
09:05:00-09:10:00 20       0        0        3        0        0        23      
09:10:00-09:15:00 26       0        0        4        0        0        30      
09:15:00-09:20:00 36       2        0        2        0        0        40      
09:20:00-09:25:00 31       6        0        4        0        0        41      
09:25:00-09:30:00 35       1        1        3        0        0        40      
09:30:00-09:35:00 33       4        0        12       0        0        49      
09:35:00-09:40:00 26       2        1        5        0        1        35      
09:40:00-09:45:00 38       1        0        6        0        1        46      
09:45:00-09:50:00 20       2        0        5        0        0        27      
09:50:00-09:55:00 31       0        1        0        0        0        32      
09:55:00-10:00:00 32       2        0        3        0        0        37      
10:00:00-10:05:00 36       3        4        3        0        0        46      
10:05:00-10:10:00 27       2        1        7        0        0        37      
10:10:00-10:15:00 32       2        0        6        0        0        40      
10:15:00-10:20:00 42       2        0        2        0        0        46      
10:20:00-10:25:00 20       4        0        2        0        0        26      

SWITCH STATISTICS (over 10:24:34 period)
------------------------------------------------------------
ID Switches Total:                      915
ID Switches / Hour:                     87.90
Counted Vehs with ID Switch:            455/5789 (7.86%)
Tracks with Class Switch:               2756/9829 (28.04%)
Counted Vehs with Class Switch:         2273/5789 (39.26%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     10422
On Counted Vehicles:                    9189
Avg per Affected Counted Veh:           4.04
Per Hour:                               1001.20

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     5851
On Counted Vehicles:                    5030
Avg per Affected Counted Veh:           2.21
Per Hour:                               562.08

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 7        91       97       7.22       93.81     
00:05:00-00:10:00 6        86       107      5.61       80.37     
00:10:00-00:15:00 9        174      121      7.44       143.80    
00:15:00-00:20:00 12       135      120      10.00      112.50    
00:20:00-00:25:00 13       129      138      9.42       93.48     
