Vanilla-YOLOv8n - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-22 01:52:05
Model: /home/migui/Downloads/100_yolov8n_300epochs_b32-20260318T004620Z-1-001/100_yolov8n_300epochs_b32/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9168
IDF1:               0.9184
ID Switches:        1006
Mostly Tracked (MT): (90.4%)
Mostly Lost (ML):    (0.2%)
GFLOPs:             nan
FPS:                134.28
Runtime:            01:09:46
Class Switches:     9768

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4656
  MOTORCYCLE      304
  TRICYCLE        189
  VAN             561
  BUS             0
  TRUCK           13
  TOTAL           5723

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 59       4        0        10       0        0        73      
00:05:00-00:10:00 70       3        0        10       0        0        83      
00:10:00-00:15:00 76       5        0        19       0        0        100     
00:15:00-00:20:00 75       5        0        11       0        0        91      
00:20:00-00:25:00 78       5        0        9        0        0        92      
00:25:00-00:30:00 58       1        0        6        0        0        65      
00:30:00-00:35:00 61       2        0        7        0        0        70      
00:35:00-00:40:00 54       2        0        10       0        1        67      
00:40:00-00:45:00 49       1        0        10       0        0        60      
00:45:00-00:50:00 54       0        0        1        0        0        55      
00:50:00-00:55:00 54       3        0        9        0        0        66      
00:55:00-01:00:00 63       4        0        9        0        1        77      
01:00:00-01:05:00 46       2        0        7        0        0        55      
01:05:00-01:10:00 64       2        0        1        0        0        67      
01:10:00-01:15:00 61       2        0        3        0        0        66      
01:15:00-01:20:00 68       0        0        4        0        0        72      
01:20:00-01:25:00 57       5        0        6        0        0        68      
01:25:00-01:30:00 54       1        0        3        0        0        58      
01:30:00-01:35:00 48       8        0        3        0        1        60      
01:35:00-01:40:00 59       1        0        4        0        0        64      
01:40:00-01:45:00 56       1        0        5        0        1        63      
01:45:00-01:50:00 60       5        0        2        0        0        67      
01:50:00-01:55:00 59       0        0        4        0        0        63      
01:55:00-02:00:00 64       12       0        4        0        0        80      
02:00:00-02:05:00 55       3        1        5        0        1        65      
02:05:00-02:10:00 65       4        0        5        0        0        74      
02:10:00-02:15:00 60       6        0        7        0        0        73      
02:15:00-02:20:00 57       1        1        11       0        0        70      
02:20:00-02:25:00 52       6        0        3        0        0        61      
02:25:00-02:30:00 39       3        1        6        0        0        49      
02:30:00-02:35:00 34       6        4        6        0        0        50      
02:35:00-02:40:00 28       3        3        3        0        0        37      
02:40:00-02:45:00 29       1        1        2        0        0        33      
02:45:00-02:50:00 29       3        0        0        0        0        32      
02:50:00-02:55:00 40       2        3        2        0        0        47      
02:55:00-03:00:00 30       1        5        3        0        0        39      
03:00:00-03:05:00 31       4        0        5        0        0        40      
03:05:00-03:10:00 54       10       5        3        0        0        72      
03:10:00-03:15:00 60       3        6        3        0        0        72      
03:15:00-03:20:00 41       1        3        7        0        0        52      
03:20:00-03:25:00 38       1        1        5        0        0        45      
03:25:00-03:30:00 36       1        10       3        0        0        50      
03:30:00-03:35:00 35       3        3        5        0        0        46      
03:35:00-03:40:00 27       3        4        2        0        0        36      
03:40:00-03:45:00 25       2        4        1        0        0        32      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 16       4        2        2        0        0        24      
03:55:00-04:00:00 20       6        1        1        0        0        28      
04:00:00-04:05:00 20       1        0        3        0        0        24      
04:05:00-04:10:00 23       4        3        2        0        0        32      
04:10:00-04:15:00 24       2        0        1        0        0        27      
04:15:00-04:20:00 28       2        3        4        0        0        37      
04:20:00-04:25:00 34       2        5        4        0        0        45      
04:25:00-04:30:00 25       0        2        4        0        0        31      
04:30:00-04:35:00 42       2        1        2        0        0        47      
04:35:00-04:40:00 36       3        9        5        0        0        53      
04:40:00-04:45:00 32       2        0        7        0        0        41      
04:45:00-04:50:00 47       1        4        3        0        0        55      
04:50:00-04:55:00 27       3        1        4        0        0        35      
04:55:00-05:00:00 40       2        12       9        0        0        63      
05:00:00-05:05:00 32       1        7        4        0        0        44      
05:05:00-05:10:00 35       2        0        0        0        0        37      
05:10:00-05:15:00 34       3        3        7        0        0        47      
05:15:00-05:20:00 14       2        2        2        0        0        20      
05:20:00-05:25:00 30       3        0        1        0        0        34      
05:25:00-05:30:00 23       2        2        3        0        0        30      
05:30:00-05:35:00 25       2        0        2        0        0        29      
05:35:00-05:40:00 17       2        0        1        0        0        20      
05:40:00-05:45:00 21       1        1        2        0        0        25      
05:45:00-05:50:00 21       1        2        4        0        0        28      
05:50:00-05:55:00 20       1        0        1        0        0        22      
05:55:00-06:00:00 38       5        4        4        0        0        51      
06:00:00-06:05:00 26       1        2        4        0        0        33      
06:05:00-06:10:00 26       1        0        6        0        0        33      
06:10:00-06:15:00 31       2        3        2        0        0        38      
06:15:00-06:20:00 29       4        6        2        0        0        41      
06:20:00-06:25:00 24       3        4        2        0        0        33      
06:25:00-06:30:00 25       2        6        4        0        0        37      
06:30:00-06:35:00 22       1        0        5        0        1        29      
06:35:00-06:40:00 32       3        5        6        0        0        46      
06:40:00-06:45:00 42       6        2        4        0        0        54      
06:45:00-06:50:00 31       3        1        2        0        0        37      
06:50:00-06:55:00 28       1        1        3        0        0        33      
06:55:00-07:00:00 32       3        1        6        0        0        42      
07:00:00-07:05:00 22       0        0        2        0        0        24      
07:05:00-07:10:00 33       0        3        7        0        0        43      
07:10:00-07:15:00 35       4        1        6        0        0        46      
07:15:00-07:20:00 41       1        2        5        0        0        49      
07:20:00-07:25:00 28       4        1        6        0        0        39      
07:25:00-07:30:00 24       3        0        10       0        0        37      
07:30:00-07:35:00 45       0        2        7        0        0        54      
07:35:00-07:40:00 37       3        3        5        0        0        48      
07:40:00-07:45:00 41       1        2        6        0        0        50      
07:45:00-07:50:00 28       3        2        4        0        0        37      
07:50:00-07:55:00 39       2        1        7        0        0        49      
07:55:00-08:00:00 41       2        1        6        0        0        50      
08:00:00-08:05:00 33       0        3        1        0        0        37      
08:05:00-08:10:00 27       1        1        5        0        0        34      
08:10:00-08:15:00 27       3        1        2        0        0        33      
08:15:00-08:20:00 26       4        1        5        0        0        36      
08:20:00-08:25:00 18       0        0        2        0        0        20      
08:25:00-08:30:00 40       6        2        5        0        0        53      
08:30:00-08:35:00 31       3        2        7        0        0        43      
08:35:00-08:40:00 37       1        0        2        0        1        41      
08:40:00-08:45:00 37       1        0        4        0        0        42      
08:45:00-08:50:00 34       2        0        7        0        1        44      
08:50:00-08:55:00 19       0        0        3        0        0        22      
08:55:00-09:00:00 26       2        0        1        0        0        29      
09:00:00-09:05:00 12       2        0        2        0        1        17      
09:05:00-09:10:00 18       0        0        3        0        0        21      
09:10:00-09:15:00 24       0        0        5        0        0        29      
09:15:00-09:20:00 37       1        0        2        0        0        40      
09:20:00-09:25:00 32       4        0        4        0        0        40      
09:25:00-09:30:00 34       1        1        3        0        0        39      
09:30:00-09:35:00 33       2        0        12       0        0        47      
09:35:00-09:40:00 25       1        1        6        0        2        35      
09:40:00-09:45:00 37       1        0        6        0        2        46      
09:45:00-09:50:00 19       2        0        5        0        0        26      
09:50:00-09:55:00 30       0        1        1        0        0        32      
09:55:00-10:00:00 32       1        0        3        0        0        36      
10:00:00-10:05:00 35       2        5        3        0        0        45      
10:05:00-10:10:00 27       2        1        7        0        0        37      
10:10:00-10:15:00 32       2        0        7        0        0        41      
10:15:00-10:20:00 41       3        0        3        0        0        47      
10:20:00-10:25:00 20       3        0        2        0        0        25      

SWITCH STATISTICS (over 10:24:34 period)
------------------------------------------------------------
ID Switches Total:                      1006
ID Switches / Hour:                     96.64
Counted Vehs with ID Switch:            495/5723 (8.65%)
Tracks with Class Switch:               2496/9453 (26.40%)
Counted Vehs with Class Switch:         2103/5723 (36.75%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     9768
On Counted Vehicles:                    8505
Avg per Affected Counted Veh:           4.04
Per Hour:                               938.37

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     5575
On Counted Vehicles:                    4799
Avg per Affected Counted Veh:           2.28
Per Hour:                               535.57

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 7        82       91       7.69       90.11     
00:05:00-00:10:00 6        48       106      5.66       45.28     
00:10:00-00:15:00 15       147      122      12.30      120.49    
00:15:00-00:20:00 10       107      122      8.20       87.70     
00:20:00-00:25:00 9        102      123      7.32       82.93     
00:25:00-00:30:00 15       110      108      13.89      101.85    
00:30:00-00:35:00 14       115      120      11.67      95.83     
00:35:00-00:40:00 15       133      127      11.81      104.72    
00:40:00-00:45:00 27       198      127      21.26      155.91    
00:45:00-00:50:00 7        67       98       7.14       68.37     
00:50:00-00:55:00 12       78       122      9.84       63.93     
00:55:00-01:00:00 18       154      137      13.14      112.41    
01:00:00-01:05:00 4        33       101      3.96       32.67     
01:05:00-01:10:00 11       77       114      9.65       67.54     
01:10:00-01:15:00 14       77       117      11.97      65.81     
01:15:00-01:20:00 18       104      130      13.85      80.00     
01:20:00-01:25:00 10       147      133      7.52       110.53    
01:25:00-01:30:00 17       102      136      12.50      75.00     
01:30:00-01:35:00 16       168      139      11.51      120.86    
01:35:00-01:40:00 26       245      161      16.15      152.17    
01:40:00-01:45:00 20       156      144      13.89      108.33    
01:45:00-01:50:00 26       175      169      15.38      103.55    
01:50:00-01:55:00 24       169      170      14.12      99.41     
01:55:00-02:00:00 30       247      190      15.79      130.00    
02:00:00-02:05:00 14       164      144      9.72       113.89    
02:05:00-02:10:00 28       187      170      16.47      110.00    
02:10:00-02:15:00 53       285      195      27.18      146.15    
02:15:00-02:20:00 20       166      143      13.99      116.08    
02:20:00-02:25:00 21       154      130      16.15      118.46    
02:25:00-02:30:00 26       215      119      21.85      180.67    
02:30:00-02:35:00 7        81       69       10.14      117.39    
02:35:00-02:40:00 8        67       57       14.04      117.54    
02:40:00-02:45:00 2        40       46       4.35       86.96     
02:45:00-02:50:00 6        54       51       11.76      105.88    
02:50:00-02:55:00 5        74       73       6.85       101.37    
02:55:00-03:00:00 3        57       56       5.36       101.79    
03:00:00-03:05:00 3        75       57       5.26       131.58    
03:05:00-03:10:00 5        97       100      5.00       97.00     
03:10:00-03:15:00 6        57       99       6.06       57.58     
03:15:00-03:20:00 7        75       75       9.33       100.00    
03:20:00-03:25:00 6        69       59       10.17      116.95    
03:25:00-03:30:00 8        89       74       10.81      120.27    
03:30:00-03:35:00 4        50       61       6.56       81.97     
03:35:00-03:40:00 2        44       58       3.45       75.86     
03:40:00-03:45:00 2        37       47       4.26       78.72     
03:45:00-03:50:00 0        34       29       0.00       117.24    
03:50:00-03:55:00 2        23       41       4.88       56.10     
03:55:00-04:00:00 4        52       50       8.00       104.00    
04:00:00-04:05:00 2        41       37       5.41       110.81    
04:05:00-04:10:00 1        48       49       2.04       97.96     
04:10:00-04:15:00 3        34       48       6.25       70.83     
04:15:00-04:20:00 4        33       54       7.41       61.11     
04:20:00-04:25:00 4        58       70       5.71       82.86     
04:25:00-04:30:00 7        41       78       8.97       52.56     
04:30:00-04:35:00 5        61       74       6.76       82.43     
04:35:00-04:40:00 9        67       75       12.00      89.33     
04:40:00-04:45:00 3        37       56       5.36       66.07     
04:45:00-04:50:00 9        106      82       10.98      129.27    
04:50:00-04:55:00 1        38       52       1.92       73.08     
04:55:00-05:00:00 6        84       92       6.52       91.30     
05:00:00-05:05:00 3        104      59       5.08       176.27    
05:05:00-05:10:00 1        63       51       1.96       123.53    
05:10:00-05:15:00 8        66       71       11.27      92.96     
05:15:00-05:20:00 6        43       33       18.18      130.30    
05:20:00-05:25:00 0        44       43       0.00       102.33    
05:25:00-05:30:00 4        54       49       8.16       110.20    
05:30:00-05:35:00 5        35       54       9.26       64.81     
05:35:00-05:40:00 0        6        32       0.00       18.75     
05:40:00-05:45:00 3        33       46       6.52       71.74     
05:45:00-05:50:00 3        37       43       6.98       86.05     
05:50:00-05:55:00 4        36       36       11.11      100.00    
05:55:00-06:00:00 3        55       76       3.95       72.37     
06:00:00-06:05:00 10       91       63       15.87      144.44    
06:05:00-06:10:00 5        72       52       9.62       138.46    
06:10:00-06:15:00 7        62       56       12.50      110.71    
06:15:00-06:20:00 6        55       54       11.11      101.85    
06:20:00-06:25:00 2        42       43       4.65       97.67     
06:25:00-06:30:00 1        53       54       1.85       98.15     
06:30:00-06:35:00 1        42       48       2.08       87.50     
06:35:00-06:40:00 6        89       75       8.00       118.67    
06:40:00-06:45:00 7        66       74       9.46       89.19     
06:45:00-06:50:00 2        28       45       4.44       62.22     
06:50:00-06:55:00 10       76       53       18.87      143.40    
06:55:00-07:00:00 4        73       56       7.14       130.36    
07:00:00-07:05:00 2        53       37       5.41       143.24    
07:05:00-07:10:00 19       94       86       22.09      109.30    
07:10:00-07:15:00 5        53       69       7.25       76.81     
07:15:00-07:20:00 12       103      82       14.63      125.61    
07:20:00-07:25:00 2        99       58       3.45       170.69    
07:25:00-07:30:00 5        86       55       9.09       156.36    
07:30:00-07:35:00 8        77       77       10.39      100.00    
07:35:00-07:40:00 13       108      82       15.85      131.71    
07:40:00-07:45:00 6        63       67       8.96       94.03     
07:45:00-07:50:00 1        96       50       2.00       192.00    
07:50:00-07:55:00 5        103      82       6.10       125.61    
07:55:00-08:00:00 8        58       75       10.67      77.33     
08:00:00-08:05:00 3        39       63       4.76       61.90     
08:05:00-08:10:00 2        29       49       4.08       59.18     
08:10:00-08:15:00 2        29       47       4.26       61.70     
08:15:00-08:20:00 0        33       49       0.00       67.35     
08:20:00-08:25:00 1        6        26       3.85       23.08     
08:25:00-08:30:00 2        57       66       3.03       86.36     
08:30:00-08:35:00 7        67       80       8.75       83.75     
08:35:00-08:40:00 5        66       57       8.77       115.79    
08:40:00-08:45:00 0        55       59       0.00       93.22     
08:45:00-08:50:00 7        80       67       10.45      119.40    
08:50:00-08:55:00 11       56       79       13.92      70.89     
08:55:00-09:00:00 4        35       67       5.97       52.24     
09:00:00-09:05:00 21       49       82       25.61      59.76     
09:05:00-09:10:00 5        55       75       6.67       73.33     
09:10:00-09:15:00 23       96       119      19.33      80.67     
09:15:00-09:20:00 4        25       60       6.67       41.67     
09:20:00-09:25:00 5        46       73       6.85       63.01     
09:25:00-09:30:00 7        42       77       9.09       54.55     
09:30:00-09:35:00 6        121      87       6.90       139.08    
09:35:00-09:40:00 5        88       60       8.33       146.67    
09:40:00-09:45:00 2        61       69       2.90       88.41     
09:45:00-09:50:00 2        34       37       5.41       91.89     
09:50:00-09:55:00 5        36       52       9.62       69.23     
09:55:00-10:00:00 1        43       51       1.96       84.31     
10:00:00-10:05:00 10       68       82       12.20      82.93     
10:05:00-10:10:00 3        53       59       5.08       89.83     
10:10:00-10:15:00 4        59       66       6.06       89.39     
10:15:00-10:20:00 3        42       65       4.62       64.62     
10:20:00-10:25:00 2        45       40       5.00       112.50    

CLASSIFICATION SWITCHES: 9768 total
Frame    ID     From         To          
700      9      car          van         
702      9      van          car         
869      19     car          van         
879      19     van          car         
881      19     car          van         
901      20     car          van         
903      20     van          car         
925      20     car          van         
926      19     van          car         
955      20     van          car         
956      20     car          van         
963      20     van          car         
1043     30     car          van         
1096     31     car          van         
1106     31     van          car         
1110     31     car          van         
1132     32     car          van         
1141     31     van          car         
1153     32     van          car         
1154     32     car          van         
1155     32     van          car         
1156     32     car          van         
1158     32     van          car         
1163     32     car          van         
1165     32     van          car         
1167     32     car          van         
1168     32     van          car         
1169     32     car          van         
1249     36     car          van         
1257     36     van          car         
1330     39     car          truck       
1332     39     truck        van         
1362     38     motorcycle   tricycle    
1362     39     van          car         
1363     38     tricycle     motorcycle  
1386     40     car          tricycle    
1387     40     tricycle     car         
1399     40     car          van         
1400     40     van          car         
1548     45     car          van         
1553     45     van          car         
1842     49     car          tricycle    
1845     49     tricycle     car         
1943     53     car          tricycle    
1946     53     tricycle     car         
2182     59     car          tricycle    
2186     59     tricycle     car         
2212     60     car          van         
2229     60     van          truck       
2230     60     truck        van         
2252     60     van          car         
2254     60     car          van         
2255     60     van          car         
2565     68     car          van         
2566     68     van          car         
2567     68     car          van         
2569     68     van          car         
2859     72     van          car         
2860     72     car          van         
2908     72     van          car         
2970     75     car          tricycle    
2973     75     tricycle     car         
3163     78     car          tricycle    
3165     78     tricycle     car         
3166     78     car          tricycle    
3171     78     tricycle     car         
3243     79     car          tricycle    
3249     79     tricycle     car         
3391     82     car          van         
3393     82     van          car         
3440     85     car          tricycle    
3447     85     tricycle     car         
3512     87     car          van         
3513     87     van          car         
3539     87     car          van         
3544     87     van          car         
3545     87     car          van         
3546     87     van          car         
3996     94     car          van         
4043     94     van          car         
4286     102    car          van         
4288     102    van          car         
4537     113    car          van         
4540     113    van          car         
4541     113    car          van         
4544     113    van          car         
4686     125    car          van         
4691     125    van          truck       
4692     125    truck        van         
4704     125    van          car         
4706     125    car          van         
4755     127    car          van         
4764     125    van          car         
4820     127    van          car         
4821     129    car          tricycle    
4831     129    tricycle     car         
4864     132    car          van         
4897     132    van          car         
4903     132    car          van         
4907     132    van          car         
4913     132    car          van         
4919     132    van          car         
4924     132    car          van         
4929     132    van          car         
4930     132    car          van         
4934     132    van          car         
5260     155    car          truck       
5262     155    truck        car         
5582     171    car          van         
5714     171    van          car         
5862     179    van          car         
6002     194    car          van         
6024     194    van          car         
6027     194    car          van         
6713     207    car          tricycle    
6714     207    tricycle     car         
6982     214    car          tricycle    
6985     214    tricycle     car         
7103     218    car          van         
7104     218    van          car         
7226     223    car          tricycle    
7233     223    tricycle     car         
8686     238    car          van         
8690     238    van          truck       
8692     238    truck        van         
8719     238    van          car         
8721     238    car          van         
8732     239    car          van         
8773     239    van          car         
8857     247    van          car         
9041     258    car          van         
9046     258    van          car         
9106     263    car          tricycle    
9113     263    tricycle     car         
9138     264    car          van         
9139     264    van          car         
9140     264    car          van         
9148     264    van          car         
9150     264    car          van         
9443     278    car          van         
9493     280    car          van         
9504     280    van          car         
9509     280    car          van         
9536     280    van          car         
9537     280    car          van         
9542     280    van          car         
9607     291    car          van         
9608     291    van          car         
9654     294    car          van         
9659     294    van          truck       
9664     294    truck        car         
9679     289    van          car         
9716     297    car          van         
9717     297    van          car         
9753     303    car          truck       
9758     303    truck        van         
9763     303    van          car         
9865     306    car          van         
9869     306    van          truck       
9873     306    truck        van         
9912     308    car          van         
9919     306    van          car         
9924     308    van          truck       
9932     308    truck        van         
9938     308    van          car         
9939     308    car          van         
9943     308    van          car         
9952     308    car          van         
9953     308    van          car         
9954     308    car          van         
9955     308    van          car         
9957     308    car          van         
9982     312    car          van         
9983     312    van          car         
10241    321    car          tricycle    
10247    321    tricycle     car         
10256    321    car          van         
10258    321    van          car         
10265    321    car          van         
10276    321    van          car         
10346    325    car          tricycle    
10347    325    tricycle     car         
10348    325    car          tricycle    
10351    325    tricycle     car         
10432    326    car          motorcycle  
10434    326    motorcycle   car         
10710    335    car          tricycle    
10711    335    tricycle     car         
10736    335    car          van         
10742    335    van          car         
10743    335    car          van         
10746    335    van          car         
10826    339    car          tricycle    
10827    339    tricycle     car         
10885    340    car          tricycle    
10887    340    tricycle     car         
11329    354    car          tricycle    
11333    354    tricycle     car         
11496    358    car          van         
11497    358    van          car         
11645    362    car          van         
11648    362    van          car         
11694    363    car          tricycle    
11697    363    tricycle     car         
11698    363    car          van         
11759    363    van          car         
11855    368    car          tricycle    
11859    368    tricycle     car         
11867    368    car          van         
11868    368    van          car         
11908    369    car          tricycle    
11914    369    tricycle     car         
11931    371    car          van         
11938    371    van          car         
11952    371    car          van         
11965    371    van          car         
12028    375    car          van         
12029    375    van          car         
12031    375    car          van         
12039    374    van          car         
12040    375    van          car         
12041    375    car          van         
12064    375    van          car         
12146    380    car          tricycle    
12151    380    tricycle     car         
12184    383    car          truck       
12186    383    truck        van         
12221    383    van          car         
12343    388    car          tricycle    
12347    388    tricycle     car         
12422    389    car          van         
12423    389    van          car         
12425    389    car          van         
12426    389    van          car         
12514    397    car          van         
12521    397    van          truck       
12522    397    truck        van         
12528    397    van          car         
12537    397    car          van         
12538    397    van          car         
12540    397    car          van         
12552    397    van          car         
12723    406    car          van         
12729    406    van          car         
12751    406    car          truck       
12892    410    truck        van         
12916    410    van          car         
12923    410    car          van         
12934    410    van          car         
12939    410    car          van         
12940    410    van          car         
12955    413    van          car         
12959    410    car          van         
12959    414    van          car         
12960    410    van          car         
12961    410    car          van         
12975    410    van          car         
13053    420    car          tricycle    
13055    420    tricycle     car         
13056    420    car          tricycle    
13058    420    tricycle     car         
13092    421    car          van         
13098    421    van          car         
13103    421    car          van         
13147    421    van          car         
13185    425    car          van         
13190    425    van          car         
13191    425    car          van         
13198    425    van          car         
13199    425    car          van         
13201    425    van          car         
13202    425    car          van         
13204    425    van          car         
13276    433    car          van         
13277    433    van          car         
13285    433    car          van         
13395    433    van          car         
13703    446    car          van         
13706    446    van          car         
13713    445    car          van         
13721    445    van          car         
13748    451    car          van         
13767    452    car          van         
13768    452    van          car         
13769    452    car          van         
13769    453    van          car         
13770    451    van          car         
13770    452    van          car         
13773    451    car          van         
13774    451    van          car         
13776    451    car          van         
13799    451    van          car         
13800    451    car          van         
13811    452    car          van         
13812    452    van          car         
14030    464    car          van         
14033    464    van          car         
14233    468    van          car         
14813    494    car          van         
14815    494    van          car         
14817    494    car          van         
14821    494    van          car         
14822    494    car          van         
14828    494    van          car         
